workload,n,mean_time,sd_time,ci_lo,ci_hi,mean_certs
random,10000,0.010574,0.000692,0.010326,0.010822,11232
clustered,10000,0.008955,0.001286,0.008495,0.009415,8676
bursty,10000,0.003544,0.000471,0.003376,0.003713,3764
degenerate,10000,0.000040,0.000022,0.000033,0.000048,22
random,100000,0.210505,0.012474,0.206042,0.214969,113558
clustered,100000,0.177535,0.030551,0.166603,0.188468,86561
bursty,100000,0.069934,0.017281,0.063750,0.076118,37744
degenerate,100000,0.000870,0.000803,0.000583,0.001158,247
random,1000000,4.780814,0.734446,4.517996,5.043632,1135205
clustered,1000000,3.811701,0.318722,3.697648,3.925754,864865
bursty,1000000,1.583181,0.173790,1.520991,1.645371,377714
degenerate,1000000,0.011423,0.002408,0.010561,0.012284,2558
